Time_Minutes,Power_PerUnit,Description
837,-0.3157,"Frequency regulation signal (positive=discharge, negative=charge)"
838,-0.2158,"Frequency regulation signal (positive=discharge, negative=charge)"
839,-0.4812,"Frequency regulation signal (positive=discharge, negative=charge)"
840,-0.0676,"Frequency regulation signal (positive=discharge, negative=charge)"
841,0.4575,"Frequency regulation signal (positive=discharge, negative=charge)"
842,0.0726,"Frequency regulation signal (positive=discharge, negative=charge)"
843,0.0774,"Frequency regulation signal (positive=discharge, negative=charge)"
844,-0.0514,"Frequency regulation signal (positive=discharge, negative=charge)"
845,0.2859,"Frequency regulation signal (positive=discharge, negative=charge)"
846,0.4871,"Frequency regulation signal (positive=discharge, negative=charge)"
847,0.7463,"Frequency regulation signal (positive=discharge, negative=charge)"
848,-0.294,"Frequency regulation signal (positive=discharge, negative=charge)"
849,-0.4476,"Frequency regulation signal (positive=discharge, negative=charge)"
850,-0.2289,"Frequency regulation signal (positive=discharge, negative=charge)"
851,0.0501,"Frequency regulation signal (positive=discharge, negative=charge)"
852,-0.0609,"Frequency regulation signal (positive=discharge, negative=charge)"
853,-0.0032,"Frequency regulation signal (positive=discharge, negative=charge)"
854,0.0034,"Frequency regulation signal (positive=discharge, negative=charge)"
855,-0.0276,"Frequency regulation signal (positive=discharge, negative=charge)"
856,0.2846,"Frequency regulation signal (positive=discharge, negative=charge)"
857,0.5001,"Frequency regulation signal (positive=discharge, negative=charge)"
858,-0.0185,"Frequency regulation signal (positive=discharge, negative=charge)"
859,0.1119,"Frequency regulation signal (positive=discharge, negative=charge)"
860,0.2775,"Frequency regulation signal (positive=discharge, negative=charge)"
861,0.1549,"Frequency regulation signal (positive=discharge, negative=charge)"
862,0.571,"Frequency regulation signal (positive=discharge, negative=charge)"
863,0.1747,"Frequency regulation signal (positive=discharge, negative=charge)"
864,-0.5024,"Frequency regulation signal (positive=discharge, negative=charge)"
865,-0.2421,"Frequency regulation signal (positive=discharge, negative=charge)"
866,0.1367,"Frequency regulation signal (positive=discharge, negative=charge)"
867,0.0315,"Frequency regulation signal (positive=discharge, negative=charge)"
868,-0.2295,"Frequency regulation signal (positive=discharge, negative=charge)"
869,-0.0174,"Frequency regulation signal (positive=discharge, negative=charge)"
870,-0.1039,"Frequency regulation signal (positive=discharge, negative=charge)"
871,0.1217,"Frequency regulation signal (positive=discharge, negative=charge)"
872,-0.0515,"Frequency regulation signal (positive=discharge, negative=charge)"
873,-0.2477,"Frequency regulation signal (positive=discharge, negative=charge)"
874,-0.2235,"Frequency regulation signal (positive=discharge, negative=charge)"
875,0.3853,"Frequency regulation signal (positive=discharge, negative=charge)"
876,0.1398,"Frequency regulation signal (positive=discharge, negative=charge)"
877,0.0908,"Frequency regulation signal (positive=discharge, negative=charge)"
878,-0.4029,"Frequency regulation signal (positive=discharge, negative=charge)"
879,-0.3573,"Frequency regulation signal (positive=discharge, negative=charge)"
880,0.1296,"Frequency regulation signal (positive=discharge, negative=charge)"
881,-0.2286,"Frequency regulation signal (positive=discharge, negative=charge)"
882,-0.3263,"Frequency regulation signal (positive=discharge, negative=charge)"
883,-0.335,"Frequency regulation signal (positive=discharge, negative=charge)"
884,-0.4516,"Frequency regulation signal (positive=discharge, negative=charge)"
885,0.145,"Frequency regulation signal (positive=discharge, negative=charge)"
886,0.2592,"Frequency regulation signal (positive=discharge, negative=charge)"
887,0.0317,"Frequency regulation signal (positive=discharge, negative=charge)"
888,-0.0853,"Frequency regulation signal (positive=discharge, negative=charge)"
889,-0.0767,"Frequency regulation signal (positive=discharge, negative=charge)"
890,0.1314,"Frequency regulation signal (positive=discharge, negative=charge)"
891,0.3061,"Frequency regulation signal (positive=discharge, negative=charge)"
892,0.2428,"Frequency regulation signal (positive=discharge, negative=charge)"
893,-0.1604,"Frequency regulation signal (positive=discharge, negative=charge)"
894,-0.2905,"Frequency regulation signal (positive=discharge, negative=charge)"
895,-0.1949,"Frequency regulation signal (positive=discharge, negative=charge)"
896,-0.0852,"Frequency regulation signal (positive=discharge, negative=charge)"
897,-0.1083,"Frequency regulation signal (positive=discharge, negative=charge)"
898,-0.1923,"Frequency regulation signal (positive=discharge, negative=charge)"
899,-0.6221,"Frequency regulation signal (positive=discharge, negative=charge)"
900,-0.0049,"Frequency regulation signal (positive=discharge, negative=charge)"
901,0.224,"Frequency regulation signal (positive=discharge, negative=charge)"
902,0.2817,"Frequency regulation signal (positive=discharge, negative=charge)"
903,0.2356,"Frequency regulation signal (positive=discharge, negative=charge)"
904,-0.0669,"Frequency regulation signal (positive=discharge, negative=charge)"
905,0.1767,"Frequency regulation signal (positive=discharge, negative=charge)"
906,0.1381,"Frequency regulation signal (positive=discharge, negative=charge)"
907,0.3855,"Frequency regulation signal (positive=discharge, negative=charge)"
908,-0.0583,"Frequency regulation signal (positive=discharge, negative=charge)"
909,0.0695,"Frequency regulation signal (positive=discharge, negative=charge)"
910,-0.1859,"Frequency regulation signal (positive=discharge, negative=charge)"
911,0.1847,"Frequency regulation signal (positive=discharge, negative=charge)"
912,0.0961,"Frequency regulation signal (positive=discharge, negative=charge)"
913,0.0545,"Frequency regulation signal (positive=discharge, negative=charge)"
914,-0.3184,"Frequency regulation signal (positive=discharge, negative=charge)"
915,0.1223,"Frequency regulation signal (positive=discharge, negative=charge)"
916,0.5522,"Frequency regulation signal (positive=discharge, negative=charge)"
917,0.4239,"Frequency regulation signal (positive=discharge, negative=charge)"
918,-0.0167,"Frequency regulation signal (positive=discharge, negative=charge)"
919,0.0051,"Frequency regulation signal (positive=discharge, negative=charge)"
920,0.4319,"Frequency regulation signal (positive=discharge, negative=charge)"
921,0.2333,"Frequency regulation signal (positive=discharge, negative=charge)"
922,0.27,"Frequency regulation signal (positive=discharge, negative=charge)"
923,-0.3419,"Frequency regulation signal (positive=discharge, negative=charge)"
924,-0.1609,"Frequency regulation signal (positive=discharge, negative=charge)"
925,-0.4872,"Frequency regulation signal (positive=discharge, negative=charge)"
926,-0.0504,"Frequency regulation signal (positive=discharge, negative=charge)"
927,0.0213,"Frequency regulation signal (positive=discharge, negative=charge)"
928,-0.0672,"Frequency regulation signal (positive=discharge, negative=charge)"
929,-0.4497,"Frequency regulation signal (positive=discharge, negative=charge)"
930,-0.1977,"Frequency regulation signal (positive=discharge, negative=charge)"
931,0.6376,"Frequency regulation signal (positive=discharge, negative=charge)"
932,-0.0834,"Frequency regulation signal (positive=discharge, negative=charge)"
933,-0.5585,"Frequency regulation signal (positive=discharge, negative=charge)"
934,-0.1473,"Frequency regulation signal (positive=discharge, negative=charge)"
935,-0.0905,"Frequency regulation signal (positive=discharge, negative=charge)"
936,0.0215,"Frequency regulation signal (positive=discharge, negative=charge)"
937,0.1695,"Frequency regulation signal (positive=discharge, negative=charge)"
938,-0.3688,"Frequency regulation signal (positive=discharge, negative=charge)"
939,-0.7243,"Frequency regulation signal (positive=discharge, negative=charge)"
940,-0.647,"Frequency regulation signal (positive=discharge, negative=charge)"
941,0.0336,"Frequency regulation signal (positive=discharge, negative=charge)"
942,-0.1165,"Frequency regulation signal (positive=discharge, negative=charge)"
943,-0.5803,"Frequency regulation signal (positive=discharge, negative=charge)"
944,-0.2366,"Frequency regulation signal (positive=discharge, negative=charge)"
945,-0.4537,"Frequency regulation signal (positive=discharge, negative=charge)"
946,-0.1784,"Frequency regulation signal (positive=discharge, negative=charge)"
947,-0.0516,"Frequency regulation signal (positive=discharge, negative=charge)"
948,-0.229,"Frequency regulation signal (positive=discharge, negative=charge)"
949,-0.266,"Frequency regulation signal (positive=discharge, negative=charge)"
950,-0.0969,"Frequency regulation signal (positive=discharge, negative=charge)"
951,0.2586,"Frequency regulation signal (positive=discharge, negative=charge)"
952,-0.2359,"Frequency regulation signal (positive=discharge, negative=charge)"
953,-0.1221,"Frequency regulation signal (positive=discharge, negative=charge)"
954,-0.5988,"Frequency regulation signal (positive=discharge, negative=charge)"
955,-0.1178,"Frequency regulation signal (positive=discharge, negative=charge)"
956,0.0003,"Frequency regulation signal (positive=discharge, negative=charge)"
957,-0.0626,"Frequency regulation signal (positive=discharge, negative=charge)"
958,-0.3352,"Frequency regulation signal (positive=discharge, negative=charge)"
959,-0.3859,"Frequency regulation signal (positive=discharge, negative=charge)"
960,0.0339,"Frequency regulation signal (positive=discharge, negative=charge)"
961,0.5516,"Frequency regulation signal (positive=discharge, negative=charge)"
962,0.2995,"Frequency regulation signal (positive=discharge, negative=charge)"
963,0.1065,"Frequency regulation signal (positive=discharge, negative=charge)"
964,-0.1383,"Frequency regulation signal (positive=discharge, negative=charge)"
965,0.4392,"Frequency regulation signal (positive=discharge, negative=charge)"
966,0.2591,"Frequency regulation signal (positive=discharge, negative=charge)"
967,0.5805,"Frequency regulation signal (positive=discharge, negative=charge)"
968,-0.2101,"Frequency regulation signal (positive=discharge, negative=charge)"
969,-0.662,"Frequency regulation signal (positive=discharge, negative=charge)"
970,-0.114,"Frequency regulation signal (positive=discharge, negative=charge)"
971,-0.0096,"Frequency regulation signal (positive=discharge, negative=charge)"
972,0.1992,"Frequency regulation signal (positive=discharge, negative=charge)"
973,-0.4047,"Frequency regulation signal (positive=discharge, negative=charge)"
974,-0.4029,"Frequency regulation signal (positive=discharge, negative=charge)"
975,-0.3245,"Frequency regulation signal (positive=discharge, negative=charge)"
976,0.3265,"Frequency regulation signal (positive=discharge, negative=charge)"
977,-0.1108,"Frequency regulation signal (positive=discharge, negative=charge)"
978,-0.2576,"Frequency regulation signal (positive=discharge, negative=charge)"
979,0.1039,"Frequency regulation signal (positive=discharge, negative=charge)"
980,0.3605,"Frequency regulation signal (positive=discharge, negative=charge)"
981,0.5089,"Frequency regulation signal (positive=discharge, negative=charge)"
982,0.0369,"Frequency regulation signal (positive=discharge, negative=charge)"
983,-0.2255,"Frequency regulation signal (positive=discharge, negative=charge)"
984,-0.4134,"Frequency regulation signal (positive=discharge, negative=charge)"
985,-0.428,"Frequency regulation signal (positive=discharge, negative=charge)"
986,0.3473,"Frequency regulation signal (positive=discharge, negative=charge)"
987,0.1078,"Frequency regulation signal (positive=discharge, negative=charge)"
988,-0.4366,"Frequency regulation signal (positive=discharge, negative=charge)"
989,-0.4444,"Frequency regulation signal (positive=discharge, negative=charge)"
990,-0.0585,"Frequency regulation signal (positive=discharge, negative=charge)"
991,-0.1574,"Frequency regulation signal (positive=discharge, negative=charge)"
992,0.1432,"Frequency regulation signal (positive=discharge, negative=charge)"
993,-0.2688,"Frequency regulation signal (positive=discharge, negative=charge)"
994,-0.4473,"Frequency regulation signal (positive=discharge, negative=charge)"
995,-0.059,"Frequency regulation signal (positive=discharge, negative=charge)"
996,0.5711,"Frequency regulation signal (positive=discharge, negative=charge)"
997,0.1438,"Frequency regulation signal (positive=discharge, negative=charge)"
998,-0.5435,"Frequency regulation signal (positive=discharge, negative=charge)"
999,-0.5098,"Frequency regulation signal (positive=discharge, negative=charge)"
1000,-0.1248,"Frequency regulation signal (positive=discharge, negative=charge)"
1001,0.0321,"Frequency regulation signal (positive=discharge, negative=charge)"
1002,-0.246,"Frequency regulation signal (positive=discharge, negative=charge)"
1003,-0.7012,"Frequency regulation signal (positive=discharge, negative=charge)"
1004,-0.4772,"Frequency regulation signal (positive=discharge, negative=charge)"
1005,-0.1734,"Frequency regulation signal (positive=discharge, negative=charge)"
1006,0.2928,"Frequency regulation signal (positive=discharge, negative=charge)"
1007,0.2017,"Frequency regulation signal (positive=discharge, negative=charge)"
1008,-0.0219,"Frequency regulation signal (positive=discharge, negative=charge)"
1009,-0.4323,"Frequency regulation signal (positive=discharge, negative=charge)"
1010,0.2028,"Frequency regulation signal (positive=discharge, negative=charge)"
1011,0.2169,"Frequency regulation signal (positive=discharge, negative=charge)"
1012,0.4165,"Frequency regulation signal (positive=discharge, negative=charge)"
1013,-0.558,"Frequency regulation signal (positive=discharge, negative=charge)"
1014,-0.2469,"Frequency regulation signal (positive=discharge, negative=charge)"
1015,-0.3116,"Frequency regulation signal (positive=discharge, negative=charge)"
1016,-0.2083,"Frequency regulation signal (positive=discharge, negative=charge)"
1017,-0.2604,"Frequency regulation signal (positive=discharge, negative=charge)"
1018,-0.5229,"Frequency regulation signal (positive=discharge, negative=charge)"
1019,-0.4007,"Frequency regulation signal (positive=discharge, negative=charge)"
1020,0.0,"Frequency regulation signal (positive=discharge, negative=charge)"
1021,0.1624,"Frequency regulation signal (positive=discharge, negative=charge)"
1022,0.2457,"Frequency regulation signal (positive=discharge, negative=charge)"
1023,0.3825,"Frequency regulation signal (positive=discharge, negative=charge)"
1024,0.2144,"Frequency regulation signal (positive=discharge, negative=charge)"
1025,0.2296,"Frequency regulation signal (positive=discharge, negative=charge)"
1026,0.3922,"Frequency regulation signal (positive=discharge, negative=charge)"
1027,0.2362,"Frequency regulation signal (positive=discharge, negative=charge)"
1028,-0.0889,"Frequency regulation signal (positive=discharge, negative=charge)"
1029,-0.5897,"Frequency regulation signal (positive=discharge, negative=charge)"
1030,-0.1997,"Frequency regulation signal (positive=discharge, negative=charge)"
1031,-0.2153,"Frequency regulation signal (positive=discharge, negative=charge)"
1032,0.1025,"Frequency regulation signal (positive=discharge, negative=charge)"
1033,-0.1542,"Frequency regulation signal (positive=discharge, negative=charge)"
1034,-0.4187,"Frequency regulation signal (positive=discharge, negative=charge)"
1035,0.3576,"Frequency regulation signal (positive=discharge, negative=charge)"
1036,0.164,"Frequency regulation signal (positive=discharge, negative=charge)"
1037,0.0724,"Frequency regulation signal (positive=discharge, negative=charge)"
1038,0.0948,"Frequency regulation signal (positive=discharge, negative=charge)"
1039,0.1532,"Frequency regulation signal (positive=discharge, negative=charge)"
1040,0.5317,"Frequency regulation signal (positive=discharge, negative=charge)"
1041,0.3249,"Frequency regulation signal (positive=discharge, negative=charge)"
1042,0.4371,"Frequency regulation signal (positive=discharge, negative=charge)"
1043,-0.2312,"Frequency regulation signal (positive=discharge, negative=charge)"
1044,-0.4545,"Frequency regulation signal (positive=discharge, negative=charge)"
1045,-0.0282,"Frequency regulation signal (positive=discharge, negative=charge)"
1046,0.1705,"Frequency regulation signal (positive=discharge, negative=charge)"
1047,-0.3885,"Frequency regulation signal (positive=discharge, negative=charge)"
1048,-0.1051,"Frequency regulation signal (positive=discharge, negative=charge)"
1049,-0.1814,"Frequency regulation signal (positive=discharge, negative=charge)"
1050,-0.2315,"Frequency regulation signal (positive=discharge, negative=charge)"
1051,0.3219,"Frequency regulation signal (positive=discharge, negative=charge)"
1052,0.2844,"Frequency regulation signal (positive=discharge, negative=charge)"
1053,-0.0873,"Frequency regulation signal (positive=discharge, negative=charge)"
1054,-0.3636,"Frequency regulation signal (positive=discharge, negative=charge)"
1055,-0.143,"Frequency regulation signal (positive=discharge, negative=charge)"
1056,0.2015,"Frequency regulation signal (positive=discharge, negative=charge)"
1057,0.2438,"Frequency regulation signal (positive=discharge, negative=charge)"
1058,-0.3271,"Frequency regulation signal (positive=discharge, negative=charge)"
1059,-0.7036,"Frequency regulation signal (positive=discharge, negative=charge)"
1060,-0.2555,"Frequency regulation signal (positive=discharge, negative=charge)"
1061,-0.7256,"Frequency regulation signal (positive=discharge, negative=charge)"
1062,-0.0343,"Frequency regulation signal (positive=discharge, negative=charge)"
1063,-0.9243,"Frequency regulation signal (positive=discharge, negative=charge)"
1064,-0.6938,"Frequency regulation signal (positive=discharge, negative=charge)"
1065,-0.4801,"Frequency regulation signal (positive=discharge, negative=charge)"
1066,-0.1487,"Frequency regulation signal (positive=discharge, negative=charge)"
1067,0.3016,"Frequency regulation signal (positive=discharge, negative=charge)"
1068,-0.3291,"Frequency regulation signal (positive=discharge, negative=charge)"
1069,-0.2611,"Frequency regulation signal (positive=discharge, negative=charge)"
1070,-0.0737,"Frequency regulation signal (positive=discharge, negative=charge)"
1071,0.2682,"Frequency regulation signal (positive=discharge, negative=charge)"
1072,0.0139,"Frequency regulation signal (positive=discharge, negative=charge)"
1073,-0.6806,"Frequency regulation signal (positive=discharge, negative=charge)"
1074,-0.3984,"Frequency regulation signal (positive=discharge, negative=charge)"
1075,-0.4534,"Frequency regulation signal (positive=discharge, negative=charge)"
1076,-0.3926,"Frequency regulation signal (positive=discharge, negative=charge)"
1077,-0.253,"Frequency regulation signal (positive=discharge, negative=charge)"
1078,-0.1634,"Frequency regulation signal (positive=discharge, negative=charge)"
1079,-0.3192,"Frequency regulation signal (positive=discharge, negative=charge)"
1080,-0.1771,"Frequency regulation signal (positive=discharge, negative=charge)"
1081,0.2039,"Frequency regulation signal (positive=discharge, negative=charge)"
1082,0.1833,"Frequency regulation signal (positive=discharge, negative=charge)"
1083,0.3664,"Frequency regulation signal (positive=discharge, negative=charge)"
1084,-0.0568,"Frequency regulation signal (positive=discharge, negative=charge)"
1085,0.2255,"Frequency regulation signal (positive=discharge, negative=charge)"
1086,0.5873,"Frequency regulation signal (positive=discharge, negative=charge)"
1087,0.2573,"Frequency regulation signal (positive=discharge, negative=charge)"
1088,-0.2653,"Frequency regulation signal (positive=discharge, negative=charge)"
1089,-0.4273,"Frequency regulation signal (positive=discharge, negative=charge)"
1090,-0.165,"Frequency regulation signal (positive=discharge, negative=charge)"
1091,0.1078,"Frequency regulation signal (positive=discharge, negative=charge)"
1092,0.1659,"Frequency regulation signal (positive=discharge, negative=charge)"
1093,-0.2748,"Frequency regulation signal (positive=discharge, negative=charge)"
1094,-0.1782,"Frequency regulation signal (positive=discharge, negative=charge)"
1095,0.026,"Frequency regulation signal (positive=discharge, negative=charge)"
1096,0.4225,"Frequency regulation signal (positive=discharge, negative=charge)"
1097,-0.0355,"Frequency regulation signal (positive=discharge, negative=charge)"
1098,0.2314,"Frequency regulation signal (positive=discharge, negative=charge)"
1099,0.0123,"Frequency regulation signal (positive=discharge, negative=charge)"
1100,0.3938,"Frequency regulation signal (positive=discharge, negative=charge)"
1101,-0.162,"Frequency regulation signal (positive=discharge, negative=charge)"
1102,0.6375,"Frequency regulation signal (positive=discharge, negative=charge)"
1103,-0.2521,"Frequency regulation signal (positive=discharge, negative=charge)"
1104,-0.1998,"Frequency regulation signal (positive=discharge, negative=charge)"
1105,-0.4122,"Frequency regulation signal (positive=discharge, negative=charge)"
1106,0.1621,"Frequency regulation signal (positive=discharge, negative=charge)"
1107,-0.2846,"Frequency regulation signal (positive=discharge, negative=charge)"
1108,-0.5241,"Frequency regulation signal (positive=discharge, negative=charge)"
1109,-0.0751,"Frequency regulation signal (positive=discharge, negative=charge)"
1110,-0.1448,"Frequency regulation signal (positive=discharge, negative=charge)"
1111,0.2865,"Frequency regulation signal (positive=discharge, negative=charge)"
1112,0.3596,"Frequency regulation signal (positive=discharge, negative=charge)"
1113,-0.0401,"Frequency regulation signal (positive=discharge, negative=charge)"
1114,-0.2235,"Frequency regulation signal (positive=discharge, negative=charge)"
1115,0.0642,"Frequency regulation signal (positive=discharge, negative=charge)"
1116,0.6864,"Frequency regulation signal (positive=discharge, negative=charge)"
1117,-0.0006,"Frequency regulation signal (positive=discharge, negative=charge)"
1118,-0.3945,"Frequency regulation signal (positive=discharge, negative=charge)"
1119,-0.4193,"Frequency regulation signal (positive=discharge, negative=charge)"
1120,-0.1878,"Frequency regulation signal (positive=discharge, negative=charge)"
1121,0.0802,"Frequency regulation signal (positive=discharge, negative=charge)"
1122,-0.1346,"Frequency regulation signal (positive=discharge, negative=charge)"
1123,-0.8039,"Frequency regulation signal (positive=discharge, negative=charge)"
1124,-0.2943,"Frequency regulation signal (positive=discharge, negative=charge)"
1125,-0.4837,"Frequency regulation signal (positive=discharge, negative=charge)"
1126,0.1715,"Frequency regulation signal (positive=discharge, negative=charge)"
1127,-0.0782,"Frequency regulation signal (positive=discharge, negative=charge)"
1128,-0.2466,"Frequency regulation signal (positive=discharge, negative=charge)"
1129,-0.2625,"Frequency regulation signal (positive=discharge, negative=charge)"
1130,0.002,"Frequency regulation signal (positive=discharge, negative=charge)"
1131,0.2596,"Frequency regulation signal (positive=discharge, negative=charge)"
1132,0.3227,"Frequency regulation signal (positive=discharge, negative=charge)"
1133,-0.3318,"Frequency regulation signal (positive=discharge, negative=charge)"
1134,-0.643,"Frequency regulation signal (positive=discharge, negative=charge)"
1135,-0.16,"Frequency regulation signal (positive=discharge, negative=charge)"
1136,0.1578,"Frequency regulation signal (positive=discharge, negative=charge)"
1137,-0.4093,"Frequency regulation signal (positive=discharge, negative=charge)"
1138,-0.3403,"Frequency regulation signal (positive=discharge, negative=charge)"
1139,-0.3457,"Frequency regulation signal (positive=discharge, negative=charge)"
1140,-0.1635,"Frequency regulation signal (positive=discharge, negative=charge)"
1141,0.5512,"Frequency regulation signal (positive=discharge, negative=charge)"
1142,0.2211,"Frequency regulation signal (positive=discharge, negative=charge)"
1143,-0.0188,"Frequency regulation signal (positive=discharge, negative=charge)"
1144,-0.1636,"Frequency regulation signal (positive=discharge, negative=charge)"
1145,0.1469,"Frequency regulation signal (positive=discharge, negative=charge)"
1146,0.1674,"Frequency regulation signal (positive=discharge, negative=charge)"
1147,-0.0732,"Frequency regulation signal (positive=discharge, negative=charge)"
1148,0.1085,"Frequency regulation signal (positive=discharge, negative=charge)"
1149,-0.5526,"Frequency regulation signal (positive=discharge, negative=charge)"
1150,-0.3438,"Frequency regulation signal (positive=discharge, negative=charge)"
1151,-0.3094,"Frequency regulation signal (positive=discharge, negative=charge)"
1152,-0.1018,"Frequency regulation signal (positive=discharge, negative=charge)"
1153,-0.544,"Frequency regulation signal (positive=discharge, negative=charge)"
1154,0.0081,"Frequency regulation signal (positive=discharge, negative=charge)"
1155,0.2485,"Frequency regulation signal (positive=discharge, negative=charge)"
1156,0.2748,"Frequency regulation signal (positive=discharge, negative=charge)"
1157,0.8171,"Frequency regulation signal (positive=discharge, negative=charge)"
1158,0.2498,"Frequency regulation signal (positive=discharge, negative=charge)"
1159,-0.1161,"Frequency regulation signal (positive=discharge, negative=charge)"
1160,-0.2977,"Frequency regulation signal (positive=discharge, negative=charge)"
1161,0.8778,"Frequency regulation signal (positive=discharge, negative=charge)"
1162,-0.05,"Frequency regulation signal (positive=discharge, negative=charge)"
1163,-0.5463,"Frequency regulation signal (positive=discharge, negative=charge)"
1164,-0.2108,"Frequency regulation signal (positive=discharge, negative=charge)"
1165,0.2876,"Frequency regulation signal (positive=discharge, negative=charge)"
1166,0.3222,"Frequency regulation signal (positive=discharge, negative=charge)"
1167,0.0443,"Frequency regulation signal (positive=discharge, negative=charge)"
1168,-0.2746,"Frequency regulation signal (positive=discharge, negative=charge)"
1169,-0.2799,"Frequency regulation signal (positive=discharge, negative=charge)"
1170,0.0513,"Frequency regulation signal (positive=discharge, negative=charge)"
1171,0.306,"Frequency regulation signal (positive=discharge, negative=charge)"
1172,0.2139,"Frequency regulation signal (positive=discharge, negative=charge)"
1173,-0.1444,"Frequency regulation signal (positive=discharge, negative=charge)"
1174,-0.3966,"Frequency regulation signal (positive=discharge, negative=charge)"
1175,-0.0572,"Frequency regulation signal (positive=discharge, negative=charge)"
1176,-0.1228,"Frequency regulation signal (positive=discharge, negative=charge)"
1177,-0.0013,"Frequency regulation signal (positive=discharge, negative=charge)"
1178,-0.624,"Frequency regulation signal (positive=discharge, negative=charge)"
1179,-0.841,"Frequency regulation signal (positive=discharge, negative=charge)"
1180,-0.3645,"Frequency regulation signal (positive=discharge, negative=charge)"
1181,0.1289,"Frequency regulation signal (positive=discharge, negative=charge)"
1182,-0.0709,"Frequency regulation signal (positive=discharge, negative=charge)"
1183,-0.881,"Frequency regulation signal (positive=discharge, negative=charge)"
1184,-0.809,"Frequency regulation signal (positive=discharge, negative=charge)"
1185,-0.0593,"Frequency regulation signal (positive=discharge, negative=charge)"
1186,-0.0762,"Frequency regulation signal (positive=discharge, negative=charge)"
1187,0.0359,"Frequency regulation signal (positive=discharge, negative=charge)"
1188,-0.1155,"Frequency regulation signal (positive=discharge, negative=charge)"
1189,-0.5123,"Frequency regulation signal (positive=discharge, negative=charge)"
1190,-0.0322,"Frequency regulation signal (positive=discharge, negative=charge)"
1191,-0.0815,"Frequency regulation signal (positive=discharge, negative=charge)"
1192,-0.1097,"Frequency regulation signal (positive=discharge, negative=charge)"
1193,-0.3493,"Frequency regulation signal (positive=discharge, negative=charge)"
1194,-0.9026,"Frequency regulation signal (positive=discharge, negative=charge)"
1195,-0.2549,"Frequency regulation signal (positive=discharge, negative=charge)"
1196,-0.0737,"Frequency regulation signal (positive=discharge, negative=charge)"
1197,-0.0448,"Frequency regulation signal (positive=discharge, negative=charge)"
1198,-0.4051,"Frequency regulation signal (positive=discharge, negative=charge)"
1199,-0.2036,"Frequency regulation signal (positive=discharge, negative=charge)"
1200,-0.0693,"Frequency regulation signal (positive=discharge, negative=charge)"
1201,0.2015,"Frequency regulation signal (positive=discharge, negative=charge)"
1202,0.2856,"Frequency regulation signal (positive=discharge, negative=charge)"
1203,0.0747,"Frequency regulation signal (positive=discharge, negative=charge)"
1204,-0.109,"Frequency regulation signal (positive=discharge, negative=charge)"
1205,0.1623,"Frequency regulation signal (positive=discharge, negative=charge)"
1206,0.2566,"Frequency regulation signal (positive=discharge, negative=charge)"
1207,0.0924,"Frequency regulation signal (positive=discharge, negative=charge)"
1208,-0.4782,"Frequency regulation signal (positive=discharge, negative=charge)"
1209,-0.0241,"Frequency regulation signal (positive=discharge, negative=charge)"
1210,-0.3831,"Frequency regulation signal (positive=discharge, negative=charge)"
1211,-0.0072,"Frequency regulation signal (positive=discharge, negative=charge)"
1212,-0.1064,"Frequency regulation signal (positive=discharge, negative=charge)"
1213,-0.0906,"Frequency regulation signal (positive=discharge, negative=charge)"
1214,-0.3666,"Frequency regulation signal (positive=discharge, negative=charge)"
1215,0.3074,"Frequency regulation signal (positive=discharge, negative=charge)"
1216,0.2893,"Frequency regulation signal (positive=discharge, negative=charge)"
1217,0.4354,"Frequency regulation signal (positive=discharge, negative=charge)"
1218,-0.1006,"Frequency regulation signal (positive=discharge, negative=charge)"
1219,0.3883,"Frequency regulation signal (positive=discharge, negative=charge)"
1220,-0.0242,"Frequency regulation signal (positive=discharge, negative=charge)"
1221,0.4949,"Frequency regulation signal (positive=discharge, negative=charge)"
1222,0.3656,"Frequency regulation signal (positive=discharge, negative=charge)"
1223,-0.1235,"Frequency regulation signal (positive=discharge, negative=charge)"
1224,-0.4392,"Frequency regulation signal (positive=discharge, negative=charge)"
1225,-0.2121,"Frequency regulation signal (positive=discharge, negative=charge)"
1226,0.0676,"Frequency regulation signal (positive=discharge, negative=charge)"
1227,-0.0847,"Frequency regulation signal (positive=discharge, negative=charge)"
1228,-0.1882,"Frequency regulation signal (positive=discharge, negative=charge)"
1229,0.0035,"Frequency regulation signal (positive=discharge, negative=charge)"
1230,-0.1982,"Frequency regulation signal (positive=discharge, negative=charge)"
1231,-0.01,"Frequency regulation signal (positive=discharge, negative=charge)"
1232,0.1887,"Frequency regulation signal (positive=discharge, negative=charge)"
1233,0.3957,"Frequency regulation signal (positive=discharge, negative=charge)"
1234,-0.3931,"Frequency regulation signal (positive=discharge, negative=charge)"
1235,0.339,"Frequency regulation signal (positive=discharge, negative=charge)"
1236,0.5627,"Frequency regulation signal (positive=discharge, negative=charge)"
1237,-0.0783,"Frequency regulation signal (positive=discharge, negative=charge)"
1238,-0.2997,"Frequency regulation signal (positive=discharge, negative=charge)"
1239,-0.2825,"Frequency regulation signal (positive=discharge, negative=charge)"
1240,-0.462,"Frequency regulation signal (positive=discharge, negative=charge)"
1241,-0.1751,"Frequency regulation signal (positive=discharge, negative=charge)"
1242,-0.3557,"Frequency regulation signal (positive=discharge, negative=charge)"
1243,-0.7559,"Frequency regulation signal (positive=discharge, negative=charge)"
1244,-0.7268,"Frequency regulation signal (positive=discharge, negative=charge)"
1245,-0.4764,"Frequency regulation signal (positive=discharge, negative=charge)"
